modname:practicallogistics2

texture:id=txt0001,filename=assets/practicallogistics2/textures/model/mini_display.png,xcount=1,ycount=1
block:id=%minidisplay,data=1,patch0=5000:txt0001,patch1=5000:txt0001,patch2=0:txt0001,patch3=5000:txt0001,patch4=0:txt0001,patch5=5000:txt0001,transparency=TRANSPARENT,stdrot=true
block:id=%minidisplay,data=4,patch0=0:txt0001,patch1=4000:txt0001,patch2=5000:txt0001,patch3=6000:txt0001,patch4=6000:txt0001,patch5=6000:txt0001,transparency=TRANSPARENT,stdrot=true
block:id=%minidisplay,data=5,patch0=5000:txt0001,patch1=6000:txt0001,patch2=0:txt0001,patch3=4000:txt0001,patch4=4000:txt0001,patch5=4000:txt0001,transparency=TRANSPARENT,stdrot=true
block:id=%minidisplay,data=2,patch0=6000:txt0001,patch1=4000:txt0001,patch2=0:txt0001,patch3=5000:txt0001,patch4=0:txt0001,patch5=5000:txt0001,transparency=TRANSPARENT,stdrot=true
block:id=%redstonereceiver,data=4,transparency=TRANSPARENT,stdrot=true
block:id=%redstonereceiver,data=1,transparency=TRANSPARENT,stdrot=true
block:id=%redstonereceiver,data=0,transparency=TRANSPARENT,stdrot=true
block:id=%redstonereceiver,data=5,transparency=TRANSPARENT,stdrot=true
block:id=%redstonereceiver,data=3,transparency=TRANSPARENT,stdrot=true
block:id=%redstonereceiver,data=2,transparency=TRANSPARENT,stdrot=true
block:id=%redstonecable,data=0,transparency=TRANSPARENT,stdrot=true
block:id=%redstonecable,data=1,transparency=TRANSPARENT,stdrot=true
block:id=%fluidreader,data=3,transparency=TRANSPARENT,stdrot=true
block:id=%fluidreader,data=5,transparency=TRANSPARENT,stdrot=true
block:id=%fluidreader,data=0,transparency=TRANSPARENT,stdrot=true
block:id=%fluidreader,data=1,transparency=TRANSPARENT,stdrot=true
block:id=%fluidreader,data=4,transparency=TRANSPARENT,stdrot=true
block:id=%fluidreader,data=2,transparency=TRANSPARENT,stdrot=true
block:id=%holographicdisplay,data=0,transparency=TRANSPARENT,stdrot=true
block:id=%holographicdisplay,data=3,transparency=TRANSPARENT,stdrot=true
block:id=%holographicdisplay,data=1,transparency=TRANSPARENT,stdrot=true
block:id=%holographicdisplay,data=4,transparency=TRANSPARENT,stdrot=true
block:id=%holographicdisplay,data=5,transparency=TRANSPARENT,stdrot=true
block:id=%holographicdisplay,data=2,transparency=TRANSPARENT,stdrot=true
block:id=%redstoneemitter,data=4,transparency=TRANSPARENT,stdrot=true
block:id=%redstoneemitter,data=1,transparency=TRANSPARENT,stdrot=true
block:id=%redstoneemitter,data=0,transparency=TRANSPARENT,stdrot=true
block:id=%redstoneemitter,data=5,transparency=TRANSPARENT,stdrot=true
block:id=%redstoneemitter,data=3,transparency=TRANSPARENT,stdrot=true
block:id=%redstoneemitter,data=2,transparency=TRANSPARENT,stdrot=true
block:id=%dataemitter,data=4,transparency=TRANSPARENT,stdrot=true
block:id=%dataemitter,data=1,transparency=TRANSPARENT,stdrot=true
block:id=%dataemitter,data=0,transparency=TRANSPARENT,stdrot=true
block:id=%dataemitter,data=5,transparency=TRANSPARENT,stdrot=true
block:id=%dataemitter,data=3,transparency=TRANSPARENT,stdrot=true
block:id=%dataemitter,data=2,transparency=TRANSPARENT,stdrot=true
block:id=%largedisplayscreen,data=4,transparency=TRANSPARENT,stdrot=true
block:id=%largedisplayscreen,data=5,transparency=TRANSPARENT,stdrot=true
block:id=%largedisplayscreen,data=2,transparency=TRANSPARENT,stdrot=true
block:id=%largedisplayscreen,data=0,transparency=TRANSPARENT,stdrot=true
block:id=%largedisplayscreen,data=3,transparency=TRANSPARENT,stdrot=true
block:id=%largedisplayscreen,data=1,transparency=TRANSPARENT,stdrot=true
block:id=%inforeader,data=3,patch0=4000:txt0002,patch1=5000:txt0002,patch2=6000:txt0002,patch3=0:txt0002,patch4=5000:txt0002,patch5=0:txt0002,patch6=4000:txt0002,patch7=5000:txt0002,patch8=6000:txt0002,patch9=0:txt0002,patch10=5000:txt0002,patch11=0:txt0002,transparency=TRANSPARENT,stdrot=true
block:id=%inforeader,data=5,patch0=5000:txt0002,patch1=6000:txt0002,patch2=0:txt0002,patch3=4000:txt0002,patch4=4000:txt0002,patch5=4000:txt0002,patch6=5000:txt0002,patch7=6000:txt0002,patch8=0:txt0002,patch9=4000:txt0002,patch10=4000:txt0002,patch11=4000:txt0002,transparency=TRANSPARENT,stdrot=true
block:id=%inforeader,data=0,patch0=0:txt0002,patch1=0:txt0002,patch2=0:txt0002,patch3=0:txt0002,patch4=0:txt0002,patch5=0:txt0002,patch6=0:txt0002,patch7=0:txt0002,patch8=0:txt0002,patch9=0:txt0002,patch10=0:txt0002,patch11=0:txt0002,transparency=TRANSPARENT,stdrot=true
block:id=%inforeader,data=1,patch0=5000:txt0002,patch1=5000:txt0002,patch2=0:txt0002,patch3=5000:txt0002,patch4=0:txt0002,patch5=5000:txt0002,patch6=5000:txt0002,patch7=5000:txt0002,patch8=0:txt0002,patch9=5000:txt0002,patch10=0:txt0002,patch11=5000:txt0002,transparency=TRANSPARENT,stdrot=true
block:id=%inforeader,data=4,patch0=0:txt0002,patch1=4000:txt0002,patch2=5000:txt0002,patch3=6000:txt0002,patch4=6000:txt0002,patch5=6000:txt0002,patch6=0:txt0002,patch7=4000:txt0002,patch8=5000:txt0002,patch9=6000:txt0002,patch10=6000:txt0002,patch11=6000:txt0002,transparency=TRANSPARENT,stdrot=true
block:id=%inforeader,data=2,patch0=6000:txt0002,patch1=4000:txt0002,patch2=0:txt0002,patch3=5000:txt0002,patch4=0:txt0002,patch5=5000:txt0002,patch6=6000:txt0002,patch7=4000:txt0002,patch8=0:txt0002,patch9=5000:txt0002,patch10=0:txt0002,patch11=5000:txt0002,transparency=TRANSPARENT,stdrot=true
block:id=%sapphireore,data=0,patch0=0:txt0003,patch1=0:txt0003,patch2=0:txt0003,patch3=0:txt0003,patch4=0:txt0003,patch5=0:txt0003,stdrot=true
block:id=%datacable,data=0,transparency=TRANSPARENT,stdrot=true
block:id=%displayscreen,data=0,transparency=TRANSPARENT,stdrot=true
block:id=%displayscreen,data=3,transparency=TRANSPARENT,stdrot=true
block:id=%displayscreen,data=1,transparency=TRANSPARENT,stdrot=true
block:id=%displayscreen,data=4,transparency=TRANSPARENT,stdrot=true
block:id=%displayscreen,data=5,transparency=TRANSPARENT,stdrot=true
block:id=%displayscreen,data=2,transparency=TRANSPARENT,stdrot=true
block:id=%energyreader,data=3,transparency=TRANSPARENT,stdrot=true
block:id=%energyreader,data=5,transparency=TRANSPARENT,stdrot=true
block:id=%energyreader,data=0,transparency=TRANSPARENT,stdrot=true
block:id=%energyreader,data=1,transparency=TRANSPARENT,stdrot=true
block:id=%energyreader,data=4,transparency=TRANSPARENT,stdrot=true
block:id=%energyreader,data=2,transparency=TRANSPARENT,stdrot=true
block:id=%networkreader,data=3,transparency=TRANSPARENT,stdrot=true
block:id=%networkreader,data=5,transparency=TRANSPARENT,stdrot=true
block:id=%networkreader,data=0,transparency=TRANSPARENT,stdrot=true
block:id=%networkreader,data=1,transparency=TRANSPARENT,stdrot=true
block:id=%networkreader,data=4,transparency=TRANSPARENT,stdrot=true
block:id=%networkreader,data=2,transparency=TRANSPARENT,stdrot=true
block:id=%clock,data=4,transparency=TRANSPARENT,stdrot=true
block:id=%clock,data=1,transparency=TRANSPARENT,stdrot=true
block:id=%clock,data=3,transparency=TRANSPARENT,stdrot=true
block:id=%clock,data=2,transparency=TRANSPARENT,stdrot=true
block:id=%clock,data=0,transparency=TRANSPARENT,stdrot=true
block:id=%clock,data=5,transparency=TRANSPARENT,stdrot=true
block:id=%entitynode,data=4,transparency=TRANSPARENT,stdrot=true
block:id=%entitynode,data=1,transparency=TRANSPARENT,stdrot=true
block:id=%entitynode,data=0,transparency=TRANSPARENT,stdrot=true
block:id=%entitynode,data=5,transparency=TRANSPARENT,stdrot=true
block:id=%entitynode,data=3,transparency=TRANSPARENT,stdrot=true
block:id=%entitynode,data=2,transparency=TRANSPARENT,stdrot=true
block:id=%redstonenode,data=4,transparency=TRANSPARENT,stdrot=true
block:id=%redstonenode,data=2,transparency=TRANSPARENT,stdrot=true
block:id=%redstonenode,data=3,transparency=TRANSPARENT,stdrot=true
block:id=%redstonenode,data=0,transparency=TRANSPARENT,stdrot=true
block:id=%redstonenode,data=1,transparency=TRANSPARENT,stdrot=true
block:id=%redstonenode,data=5,transparency=TRANSPARENT,stdrot=true
block:id=%transfernode,data=4,transparency=TRANSPARENT,stdrot=true
block:id=%transfernode,data=0,transparency=TRANSPARENT,stdrot=true
block:id=%transfernode,data=2,transparency=TRANSPARENT,stdrot=true
block:id=%transfernode,data=3,transparency=TRANSPARENT,stdrot=true
block:id=%transfernode,data=1,transparency=TRANSPARENT,stdrot=true
block:id=%transfernode,data=5,transparency=TRANSPARENT,stdrot=true
